forget_set,strategy,budget,tier,baseline_acc,unlearned_acc,diff,overall_baseline,overall_unlearned,overall_diff
forget_influence_50.npy,influence,50,majority,0.597499999994025,0.0,-0.597499999994025,0.35749999999642507,0.006699999999932999,-0.3507999999964921
forget_influence_50.npy,influence,50,mid_tail,0.3699999999963,0.0167499999998325,-0.3532499999964675,0.35749999999642507,0.006699999999932999,-0.3507999999964921
forget_influence_50.npy,influence,50,long_tail,0.27099999999729,0.0,-0.27099999999729,0.35749999999642507,0.006699999999932999,-0.3507999999964921
forget_influence_50.npy,influence,50,safety_critical,0.08699999999913001,0.0,-0.08699999999913001,0.35749999999642507,0.006699999999932999,-0.3507999999964921
forget_influence_100.npy,influence,100,majority,0.597499999994025,0.010499999999895,-0.58699999999413,0.35749999999642507,0.011599999999884002,-0.3458999999965411
forget_influence_100.npy,influence,100,mid_tail,0.3699999999963,0.02099999999979,-0.34899999999651,0.35749999999642507,0.011599999999884002,-0.3458999999965411
forget_influence_100.npy,influence,100,long_tail,0.27099999999729,0.00366666666663,-0.26733333333066,0.35749999999642507,0.011599999999884002,-0.3458999999965411
forget_influence_100.npy,influence,100,safety_critical,0.08699999999913001,0.0,-0.08699999999913001,0.35749999999642507,0.011599999999884002,-0.3458999999965411
forget_influence_200.npy,influence,200,majority,0.597499999994025,0.021999999999779998,-0.5754999999942451,0.35749999999642507,0.010599999999893998,-0.3468999999965311
forget_influence_200.npy,influence,200,mid_tail,0.3699999999963,0.009249999999907499,-0.3607499999963925,0.35749999999642507,0.010599999999893998,-0.3468999999965311
forget_influence_200.npy,influence,200,long_tail,0.27099999999729,0.00833333333325,-0.26266666666404004,0.35749999999642507,0.010599999999893998,-0.3468999999965311
forget_influence_200.npy,influence,200,safety_critical,0.08699999999913001,0.0,-0.08699999999913001,0.35749999999642507,0.010599999999893998,-0.3468999999965311
forget_random_50.npy,random,50,majority,0.597499999994025,0.056499999999435,-0.54099999999459,0.35749999999642507,0.012099999999879,-0.3453999999965461
forget_random_50.npy,random,50,mid_tail,0.3699999999963,0.000499999999995,-0.369499999996305,0.35749999999642507,0.012099999999879,-0.3453999999965461
forget_random_50.npy,random,50,long_tail,0.27099999999729,0.00199999999998,-0.26899999999731,0.35749999999642507,0.012099999999879,-0.3453999999965461
forget_random_50.npy,random,50,safety_critical,0.08699999999913001,0.0,-0.08699999999913001,0.35749999999642507,0.012099999999879,-0.3453999999965461
forget_random_100.npy,random,100,majority,0.597499999994025,0.021499999999784997,-0.57599999999424,0.35749999999642507,0.010799999999892,-0.34669999999653306
forget_random_100.npy,random,100,mid_tail,0.3699999999963,0.0137499999998625,-0.3562499999964375,0.35749999999642507,0.010799999999892,-0.34669999999653306
forget_random_100.npy,random,100,long_tail,0.27099999999729,0.00266666666664,-0.26833333333065,0.35749999999642507,0.010799999999892,-0.34669999999653306
forget_random_100.npy,random,100,safety_critical,0.08699999999913001,0.00199999999998,-0.08499999999915,0.35749999999642507,0.010799999999892,-0.34669999999653306
forget_random_200.npy,random,200,majority,0.597499999994025,0.028999999999709997,-0.568499999994315,0.35749999999642507,0.008699999999913,-0.34879999999651207
forget_random_200.npy,random,200,mid_tail,0.3699999999963,0.006249999999937499,-0.36374999999636254,0.35749999999642507,0.008699999999913,-0.34879999999651207
forget_random_200.npy,random,200,long_tail,0.27099999999729,0.00133333333332,-0.26966666666397004,0.35749999999642507,0.008699999999913,-0.34879999999651207
forget_random_200.npy,random,200,safety_critical,0.08699999999913001,0.0,-0.08699999999913001,0.35749999999642507,0.008699999999913,-0.34879999999651207
