forget_set,config_tag,strategy,budget,seed_repeat_id,tier,n_steps,lr,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std,diff,overall_baseline,overall_unlearned_mean,overall_diff
forget_influence_300.npy,influence_300,influence,300,,majority,50,0.0001,5,0.597499999994025,0.5845999999941539,0.0201772265950814,-0.012899999999871126,0.35749999999642507,0.3502199999964978,-0.007279999999927289
forget_influence_300.npy,influence_300,influence,300,,mid_tail,50,0.0001,5,0.3699999999963,0.36699999999633,0.02561090295421483,-0.0029999999999700266,0.35749999999642507,0.3502199999964978,-0.007279999999927289
forget_influence_300.npy,influence_300,influence,300,,long_tail,50,0.0001,5,0.27099999999729,0.259466666664072,0.02044746659058214,-0.011533333333218043,0.35749999999642507,0.3502199999964978,-0.007279999999927289
forget_influence_300.npy,influence_300,influence,300,,safety_critical,50,0.0001,5,0.08699999999913001,0.086599999999134,0.012256958396447686,-0.00039999999999601465,0.35749999999642507,0.3502199999964978,-0.007279999999927289
forget_influence_400.npy,influence_400,influence,400,,majority,50,0.0001,5,0.597499999994025,0.5865999999941339,0.023502564043253037,-0.010899999999891108,0.35749999999642507,0.35007999999649925,-0.007419999999925819
forget_influence_400.npy,influence_400,influence,400,,mid_tail,50,0.0001,5,0.3699999999963,0.3639499999963605,0.02619633276955473,-0.006049999999939493,0.35749999999642507,0.35007999999649925,-0.007419999999925819
forget_influence_400.npy,influence_400,influence,400,,long_tail,50,0.0001,5,0.27099999999729,0.261533333330718,0.018073039347186567,-0.009466666666572032,0.35749999999642507,0.35007999999649925,-0.007419999999925819
forget_influence_400.npy,influence_400,influence,400,,safety_critical,50,0.0001,5,0.08699999999913001,0.087199999999128,0.01169046110553643,0.00019999999999799345,0.35749999999642507,0.35007999999649925,-0.007419999999925819
forget_random_300.npy,random_300,random,300,,majority,50,0.0001,5,0.597499999994025,0.5885999999941138,0.024831875732323462,-0.008899999999911201,0.35749999999642507,0.349299999996507,-0.00819999999991805
forget_random_300.npy,random_300,random,300,,mid_tail,50,0.0001,5,0.3699999999963,0.36289999999637096,0.025727342551128206,-0.007099999999929052,0.35749999999642507,0.349299999996507,-0.00819999999991805
forget_random_300.npy,random_300,random,300,,long_tail,50,0.0001,5,0.27099999999729,0.25939999999740604,0.02311751706415893,-0.011599999999883981,0.35749999999642507,0.349299999996507,-0.00819999999991805
forget_random_300.npy,random_300,random,300,,safety_critical,50,0.0001,5,0.08699999999913001,0.08599999999914,0.01364804914484453,-0.0009999999999900089,0.35749999999642507,0.349299999996507,-0.00819999999991805
forget_random_400.npy,random_400,random,400,,majority,50,0.0001,5,0.597499999994025,0.5904999999940951,0.022045359339234145,-0.006999999999929951,0.35749999999642507,0.34929999999650696,-0.008199999999918106
forget_random_400.npy,random_400,random,400,,mid_tail,50,0.0001,5,0.3699999999963,0.3641499999963585,0.022945980883203664,-0.005849999999941513,0.35749999999642507,0.34929999999650696,-0.008199999999918106
forget_random_400.npy,random_400,random,400,,long_tail,50,0.0001,5,0.27099999999729,0.257066666664096,0.02308418187926754,-0.01393333333319402,0.35749999999642507,0.34929999999650696,-0.008199999999918106
forget_random_400.npy,random_400,random,400,,safety_critical,50,0.0001,5,0.08699999999913001,0.084199999999158,0.011271505457776372,-0.0027999999999720054,0.35749999999642507,0.34929999999650696,-0.008199999999918106
forget_random_100_seed43.npy,random_100_seed43,random,100,43,majority,50,0.0001,5,0.597499999994025,0.5890999999941089,0.02084930229227714,-0.008399999999916141,0.35749999999642507,0.34951999999650485,-0.007979999999920218
forget_random_100_seed43.npy,random_100_seed43,random,100,43,mid_tail,50,0.0001,5,0.3699999999963,0.365099999996349,0.025652790397775398,-0.004899999999950999,0.35749999999642507,0.34951999999650485,-0.007979999999920218
