forget_set,config_tag,strategy,budget,seed_repeat_id,tier,alpha,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std_corrected,diff,diff_over_std,overall_baseline
forget_influence_300.npy,influence_300,influence,300,,majority,0.001,5,0.597499999994025,0.584399999994156,0.007532595834031257,-0.013099999999868994,-1.7391083085441745,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,mid_tail,0.001,5,0.3699999999963,0.34694999999653053,0.0052497618993102005,-0.023049999999769477,-4.390675318588861,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,long_tail,0.001,5,0.27099999999729,0.259133333330742,0.004869861964684547,-0.01186666666654801,-2.4367562679606034,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,safety_critical,0.001,5,0.08699999999913001,0.08499999999915,0.0038987177378846027,-0.001999999999980004,-0.5129891760425774,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,majority,0.001,5,0.597499999994025,0.582699999994173,0.005573149917181386,-0.014799999999852043,-2.6555897867066753,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,mid_tail,0.001,5,0.3699999999963,0.351299999996487,0.004456455990986834,-0.018699999999813033,-4.196159467889667,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,long_tail,0.001,5,0.27099999999729,0.25226666666414393,0.006016274225368364,-0.018733333333146085,-3.1137765054250135,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,safety_critical,0.001,5,0.08699999999913001,0.08839999999911599,0.005425863986445959,0.001399999999985982,0.2580234232710665,0.35749999999642507
forget_random_300.npy,random_300,random,300,,majority,0.001,5,0.597499999994025,0.5892999999941071,0.004822862220666732,-0.00819999999991794,-1.700235176692304,0.35749999999642507
forget_random_300.npy,random_300,random,300,,mid_tail,0.001,5,0.3699999999963,0.3482499999965174,0.00478539444555432,-0.02174999999978261,-4.545079877373239,0.35749999999642507
forget_random_300.npy,random_300,random,300,,long_tail,0.001,5,0.27099999999729,0.255466666664112,0.005607930891894084,-0.015533333333178023,-2.7698867251788877,0.35749999999642507
forget_random_300.npy,random_300,random,300,,safety_critical,0.001,5,0.08699999999913001,0.08599999999913999,0.005099019513541795,-0.0009999999999900228,-0.19611613513818849,0.35749999999642507
forget_random_400.npy,random_400,random,400,,majority,0.001,5,0.597499999994025,0.5831999999941682,0.010210778618592964,-0.014299999999856872,-1.4004808579257395,0.35749999999642507
forget_random_400.npy,random_400,random,400,,mid_tail,0.001,5,0.3699999999963,0.350499999996495,0.003460491294565042,-0.019499999999805007,-5.635038016258328,0.35749999999642507
forget_random_400.npy,random_400,random,400,,long_tail,0.001,5,0.27099999999729,0.25413333333079197,0.010655410727677611,-0.016866666666498054,-1.5829203676482033,0.35749999999642507
forget_random_400.npy,random_400,random,400,,safety_critical,0.001,5,0.08699999999913001,0.086199999999138,0.008207313811391205,-0.0007999999999920154,-0.09747403576571773,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,majority,0.001,5,0.597499999994025,0.575399999994246,0.0042591078877668165,-0.022099999999779074,-5.188880061774344,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,mid_tail,0.001,5,0.3699999999963,0.34454999999655456,0.004175523919180873,-0.025449999999745454,-6.0950435184521865,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,long_tail,0.001,5,0.27099999999729,0.251266666664154,0.012367340502632386,-0.01973333333313604,-1.5956003903131641,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,safety_critical,0.001,5,0.08699999999913001,0.08679999999913199,0.006968500556004058,-0.0001999999999980212,-0.028700578896517597,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,majority,0.001,5,0.597499999994025,0.589499999994105,0.005683308895296297,-0.007999999999920071,-1.4076306861555858,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,mid_tail,0.001,5,0.3699999999963,0.34504999999654956,0.006157109711483316,-0.02494999999975045,-4.052225990584098,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,long_tail,0.001,5,0.27099999999729,0.249466666664172,0.006711846905881303,-0.02153333333311802,-3.208257523610869,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,safety_critical,0.001,5,0.08699999999913001,0.089599999999104,0.008260750571142741,0.0025999999999739842,0.31474137580870165,0.35749999999642507
forget_random_100_seed45.npy,random_100_seed45,random,100,45,majority,0.001,5,0.597499999994025,0.5805999999941939,0.0029563490997893565,-0.01689999999983116,-5.716510273105198,0.35749999999642507
forget_random_100_seed45.npy,random_100_seed45,random,100,45,mid_tail,0.001,5,0.3699999999963,0.3475499999965245,0.006460263152470275,-0.02244999999977554,-3.4750906379395876,0.35749999999642507
forget_random_100_seed45.npy,random_100_seed45,random,100,45,long_tail,0.001,5,0.27099999999729,0.24893333333084403,0.002653299832257772,-0.022066666666445994,-8.316687921270026,0.35749999999642507
forget_random_100_seed45.npy,random_100_seed45,random,100,45,safety_critical,0.001,5,0.08699999999913001,0.0799999999992,0.005099019513541792,-0.006999999999930007,-1.3728129459672902,0.35749999999642507
forget_random_100_seed46.npy,random_100_seed46,random,100,46,majority,0.001,5,0.597499999994025,0.583099999994169,0.009541488353405868,-0.014399999999856083,-1.5091985093411504,0.35749999999642507
forget_random_100_seed46.npy,random_100_seed46,random,100,46,mid_tail,0.001,5,0.3699999999963,0.3499499999965005,0.007678541528104218,-0.020049999999799506,-2.611172958616494,0.35749999999642507
forget_random_100_seed46.npy,random_100_seed46,random,100,46,long_tail,0.001,5,0.27099999999729,0.25359999999746397,0.007072324778796365,-0.017399999999826055,-2.460294251756259,0.35749999999642507
forget_random_100_seed46.npy,random_100_seed46,random,100,46,safety_critical,0.001,5,0.08699999999913001,0.085599999999144,0.002870540018852761,-0.0013999999999860097,-0.4877131100041355,0.35749999999642507
