forget_set,config_tag,strategy,budget,seed_repeat_id,tier,alpha,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std,diff,overall_baseline,overall_unlearned_mean,overall_diff
forget_influence_300.npy,influence_300,influence,300,,majority,0.001,5,0.597499999994025,0.584399999994156,0.029125750444249414,-0.013099999999868994,0.35749999999642507,0.341899999996581,-0.015599999999844072
forget_influence_300.npy,influence_300,influence,300,,mid_tail,0.001,5,0.3699999999963,0.3469499999965305,0.03467415464224064,-0.023049999999769533,0.35749999999642507,0.341899999996581,-0.015599999999844072
forget_influence_300.npy,influence_300,influence,300,,long_tail,0.001,5,0.27099999999729,0.259133333330742,0.026519815656454556,-0.01186666666654801,0.35749999999642507,0.341899999996581,-0.015599999999844072
forget_influence_300.npy,influence_300,influence,300,,safety_critical,0.001,5,0.08699999999913001,0.08499999999914999,0.016418652652754585,-0.0019999999999800178,0.35749999999642507,0.341899999996581,-0.015599999999844072
forget_influence_400.npy,influence_400,influence,400,,majority,0.001,5,0.597499999994025,0.5826999999941729,0.027109998430132027,-0.014799999999852154,0.35749999999642507,0.3415799999965842,-0.01591999999984084
forget_influence_400.npy,influence_400,influence,400,,mid_tail,0.001,5,0.3699999999963,0.351299999996487,0.030071926598689708,-0.018699999999813033,0.35749999999642507,0.3415799999965842,-0.01591999999984084
forget_influence_400.npy,influence_400,influence,400,,long_tail,0.001,5,0.27099999999729,0.252266666664144,0.028388507399103546,-0.01873333333314603,0.35749999999642507,0.3415799999965842,-0.01591999999984084
forget_influence_400.npy,influence_400,influence,400,,safety_critical,0.001,5,0.08699999999913001,0.08839999999911599,0.015575934555694487,0.001399999999985982,0.35749999999642507,0.3415799999965842,-0.01591999999984084
forget_random_300.npy,random_300,random,300,,majority,0.001,5,0.597499999994025,0.5892999999941069,0.030352331161504008,-0.008199999999918162,0.35749999999642507,0.3423999999965759,-0.015099999999849179
forget_random_300.npy,random_300,random,300,,mid_tail,0.001,5,0.3699999999963,0.3482499999965175,0.028706260673350147,-0.0217499999997825,0.35749999999642507,0.3423999999965759,-0.015099999999849179
forget_random_300.npy,random_300,random,300,,long_tail,0.001,5,0.27099999999729,0.25546666666411205,0.02905159110253956,-0.015533333333177968,0.35749999999642507,0.3423999999965759,-0.015099999999849179
forget_random_300.npy,random_300,random,300,,safety_critical,0.001,5,0.08699999999913001,0.08599999999914001,0.014369095538709553,-0.000999999999989995,0.35749999999642507,0.3423999999965759,-0.015099999999849179
forget_random_400.npy,random_400,random,400,,majority,0.001,5,0.597499999994025,0.583199999994168,0.03354862821526416,-0.014299999999856983,0.35749999999642507,0.341699999996583,-0.01579999999984205
forget_random_400.npy,random_400,random,400,,mid_tail,0.001,5,0.3699999999963,0.35049999999649495,0.028328784956465968,-0.019499999999805062,0.35749999999642507,0.341699999996583,-0.01579999999984205
forget_random_400.npy,random_400,random,400,,long_tail,0.001,5,0.27099999999729,0.254133333330792,0.03290977987063962,-0.016866666666497998,0.35749999999642507,0.341699999996583,-0.01579999999984205
forget_random_400.npy,random_400,random,400,,safety_critical,0.001,5,0.08699999999913001,0.086199999999138,0.017584575007771584,-0.0007999999999920154,0.35749999999642507,0.341699999996583,-0.01579999999984205
forget_random_100_seed43.npy,random_100_seed43,random,100,43,majority,0.001,5,0.597499999994025,0.575399999994246,0.024765546086193066,-0.022099999999779074,0.35749999999642507,0.3369599999966303,-0.020539999999794778
forget_random_100_seed43.npy,random_100_seed43,random,100,43,mid_tail,0.001,5,0.3699999999963,0.3445499999965545,0.029479815043338888,-0.02544999999974551,0.35749999999642507,0.3369599999966303,-0.020539999999794778
forget_random_100_seed43.npy,random_100_seed43,random,100,43,long_tail,0.001,5,0.27099999999729,0.251266666664154,0.030549175249816027,-0.01973333333313604,0.35749999999642507,0.3369599999966303,-0.020539999999794778
forget_random_100_seed43.npy,random_100_seed43,random,100,43,safety_critical,0.001,5,0.08699999999913001,0.08679999999913199,0.02024307645145191,-0.0001999999999980212,0.35749999999642507,0.3369599999966303,-0.020539999999794778
forget_random_100_seed44.npy,random_100_seed44,random,100,44,majority,0.001,5,0.597499999994025,0.589499999994105,0.026466770792975176,-0.007999999999920071,0.35749999999642507,0.3397199999966027,-0.017779999999822382
forget_random_100_seed44.npy,random_100_seed44,random,100,44,mid_tail,0.001,5,0.3699999999963,0.3450499999965495,0.032305656875806346,-0.024949999999750505,0.35749999999642507,0.3397199999966027,-0.017779999999822382
forget_random_100_seed44.npy,random_100_seed44,random,100,44,long_tail,0.001,5,0.27099999999729,0.24946666666417203,0.029162117750028076,-0.021533333333117993,0.35749999999642507,0.3397199999966027,-0.017779999999822382
forget_random_100_seed44.npy,random_100_seed44,random,100,44,safety_critical,0.001,5,0.08699999999913001,0.089599999999104,0.020030231813841105,0.0025999999999739842,0.35749999999642507,0.3397199999966027,-0.017779999999822382
forget_random_100_seed45.npy,random_100_seed45,random,100,45,majority,0.001,5,0.597499999994025,0.580599999994194,0.03104371495307002,-0.01689999999983105,0.35749999999642507,0.33781999999662177,-0.0196799999998033
forget_random_100_seed45.npy,random_100_seed45,random,100,45,mid_tail,0.001,5,0.3699999999963,0.3475499999965245,0.035270603162017494,-0.02244999999977554,0.35749999999642507,0.33781999999662177,-0.0196799999998033
forget_random_100_seed45.npy,random_100_seed45,random,100,45,long_tail,0.001,5,0.27099999999729,0.248933333330844,0.026436968765874348,-0.022066666666446022,0.35749999999642507,0.33781999999662177,-0.0196799999998033
forget_random_100_seed45.npy,random_100_seed45,random,100,45,safety_critical,0.001,5,0.08699999999913001,0.07999999999919999,0.013840556452396343,-0.0069999999999300205,0.35749999999642507,0.33781999999662177,-0.0196799999998033
forget_random_100_seed46.npy,random_100_seed46,random,100,46,majority,0.001,5,0.597499999994025,0.5830999999941688,0.02964046423699574,-0.014399999999856194,0.35749999999642507,0.34123999999658755,-0.016259999999837516
forget_random_100_seed46.npy,random_100_seed46,random,100,46,mid_tail,0.001,5,0.3699999999963,0.3499499999965005,0.03415309977495874,-0.020049999999799506,0.35749999999642507,0.34123999999658755,-0.016259999999837516
forget_random_100_seed46.npy,random_100_seed46,random,100,46,long_tail,0.001,5,0.27099999999729,0.25359999999746397,0.025463716098405427,-0.017399999999826055,0.35749999999642507,0.34123999999658755,-0.016259999999837516
forget_random_100_seed46.npy,random_100_seed46,random,100,46,safety_critical,0.001,5,0.08699999999913001,0.085599999999144,0.01862621434224516,-0.0013999999999860097,0.35749999999642507,0.34123999999658755,-0.016259999999837516
