forget_set,config_tag,strategy,budget,seed_repeat_id,tier,n_steps,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std_corrected,diff,diff_over_std,overall_baseline
forget_influence_300.npy,influence_300,influence,300,,majority,50,5,0.597499999994025,0.5845999999941538,0.0039293765408383915,-0.012899999999871237,-3.2829635607074774,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,mid_tail,50,5,0.3699999999963,0.36699999999633,0.003278719262118181,-0.0029999999999700266,-0.9149914219956451,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,long_tail,50,5,0.27099999999729,0.25946666666407203,0.0028565713713885822,-0.011533333333217988,-4.037474242280746,0.35749999999642507
forget_influence_300.npy,influence_300,influence,300,,safety_critical,50,5,0.08699999999913001,0.08659999999913401,0.0048414873747156615,-0.0003999999999960008,-0.08261923847720301,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,majority,50,5,0.597499999994025,0.5865999999941339,0.005209606511000359,-0.010899999999891108,-2.0922885398110553,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,mid_tail,50,5,0.3699999999963,0.3639499999963605,0.006073302231839119,-0.006049999999939493,-0.9961631693911979,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,long_tail,50,5,0.27099999999729,0.26153333333071804,0.004688520259291039,-0.009466666666571977,-2.0191160841871785,0.35749999999642507
forget_influence_400.npy,influence_400,influence,400,,safety_critical,50,5,0.08699999999913001,0.087199999999128,0.0017204650533913198,0.00019999999999799345,0.11624763874381554,0.35749999999642507
forget_random_300.npy,random_300,random,300,,majority,50,5,0.597499999994025,0.5885999999941139,0.004235563716867147,-0.00889999999991109,-2.1012551326919984,0.35749999999642507
forget_random_300.npy,random_300,random,300,,mid_tail,50,5,0.3699999999963,0.36289999999637096,0.004194043395060174,-0.007099999999929052,-1.6928770952373955,0.35749999999642507
forget_random_300.npy,random_300,random,300,,long_tail,50,5,0.27099999999729,0.25939999999740604,0.004836895239209522,-0.011599999999883981,-2.398232631926866,0.35749999999642507
forget_random_300.npy,random_300,random,300,,safety_critical,50,5,0.08699999999913001,0.08599999999913999,0.0054037024343884885,-0.0009999999999900228,-0.18505830254940528,0.35749999999642507
forget_random_400.npy,random_400,random,400,,majority,50,5,0.597499999994025,0.590499999994095,0.0044497190922129105,-0.006999999999930062,-1.573133012414242,0.35749999999642507
forget_random_400.npy,random_400,random,400,,mid_tail,50,5,0.3699999999963,0.36414999999635855,0.0017720045146492256,-0.005849999999941458,-3.301345990701093,0.35749999999642507
forget_random_400.npy,random_400,random,400,,long_tail,50,5,0.27099999999729,0.257066666664096,0.007279804637110513,-0.01393333333319402,-1.9139707763812208,0.35749999999642507
forget_random_400.npy,random_400,random,400,,safety_critical,50,5,0.08699999999913001,0.08419999999915799,0.0033105890714162614,-0.0027999999999720193,-0.8457709306622542,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,majority,50,5,0.597499999994025,0.5890999999941091,0.005083306010804675,-0.00839999999991592,-1.6524678982657233,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,mid_tail,50,5,0.3699999999963,0.365099999996349,0.004220781918038826,-0.004899999999950999,-1.1609223350321236,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,long_tail,50,5,0.27099999999729,0.25693333333076396,0.00624108252712074,-0.014066666666526062,-2.2538824964097337,0.35749999999642507
forget_random_100_seed43.npy,random_100_seed43,random,100,43,safety_critical,50,5,0.08699999999913001,0.08579999999914198,0.00526877594887511,-0.00119999999998803,-0.22775688540034264,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,majority,50,5,0.597499999994025,0.588099999994119,0.0015297058540625563,-0.009399999999906039,-6.14497223432972,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,mid_tail,50,5,0.3699999999963,0.35929999999640705,0.0028913664589312687,-0.010699999999892962,-3.7006723816834985,0.35749999999642507
forget_random_100_seed44.npy,random_100_seed44,random,100,44,long_tail,50,5,0.27099999999729,0.257599999997424,0.004591780095346741,-0.013399999999866019,-2.9182582182987007,0.35749999999642507
