forget_set,strategy,budget,tier,baseline_acc,unlearned_acc,diff,overall_baseline,overall_unlearned,overall_diff
forget_influence_50.npy,influence,50,majority,0.597499999994025,0.58799999999412,-0.009499999999905029,0.35749999999642507,0.35049999999649495,-0.006999999999930118
forget_influence_50.npy,influence,50,mid_tail,0.3699999999963,0.3657499999963425,-0.00424999999995751,0.35749999999642507,0.35049999999649495,-0.006999999999930118
forget_influence_50.npy,influence,50,long_tail,0.27099999999729,0.26066666666405996,-0.010333333333230055,0.35749999999642507,0.35049999999649495,-0.006999999999930118
forget_influence_50.npy,influence,50,safety_critical,0.08699999999913001,0.08399999999916,-0.0029999999999700128,0.35749999999642507,0.35049999999649495,-0.006999999999930118
forget_influence_100.npy,influence,100,majority,0.597499999994025,0.5949999999940501,-0.0024999999999749667,0.35749999999642507,0.35149999999648507,-0.005999999999939998
forget_influence_100.npy,influence,100,mid_tail,0.3699999999963,0.36649999999633504,-0.0034999999999649756,0.35749999999642507,0.35149999999648507,-0.005999999999939998
forget_influence_100.npy,influence,100,long_tail,0.27099999999729,0.25633333333076996,-0.014666666666520056,0.35749999999642507,0.35149999999648507,-0.005999999999939998
forget_influence_100.npy,influence,100,safety_critical,0.08699999999913001,0.08999999999910001,0.002999999999969999,0.35749999999642507,0.35149999999648507,-0.005999999999939998
forget_influence_200.npy,influence,200,majority,0.597499999994025,0.5804999999941949,-0.01699999999983015,0.35749999999642507,0.351399999996486,-0.006099999999939043
forget_influence_200.npy,influence,200,mid_tail,0.3699999999963,0.3699999999963,0.0,0.35749999999642507,0.351399999996486,-0.006099999999939043
forget_influence_200.npy,influence,200,long_tail,0.27099999999729,0.2599999999974,-0.010999999999890042,0.35749999999642507,0.351399999996486,-0.006099999999939043
forget_influence_200.npy,influence,200,safety_critical,0.08699999999913001,0.09299999999907001,0.005999999999939998,0.35749999999642507,0.351399999996486,-0.006099999999939043
forget_random_50.npy,random,50,majority,0.597499999994025,0.58199999999418,-0.015499999999845082,0.35749999999642507,0.35229999999647704,-0.005199999999948024
forget_random_50.npy,random,50,mid_tail,0.3699999999963,0.367499999996325,-0.002499999999975022,0.35749999999642507,0.35229999999647704,-0.005199999999948024
forget_random_50.npy,random,50,long_tail,0.27099999999729,0.26833333333065007,-0.0026666666666399497,0.35749999999642507,0.35229999999647704,-0.005199999999948024
forget_random_50.npy,random,50,safety_critical,0.08699999999913001,0.08399999999916,-0.0029999999999700128,0.35749999999642507,0.35229999999647704,-0.005199999999948024
forget_random_100.npy,random,100,majority,0.597499999994025,0.5894999999941051,-0.00799999999991996,0.35749999999642507,0.348899999996511,-0.008599999999914065
forget_random_100.npy,random,100,mid_tail,0.3699999999963,0.357499999996425,-0.012499999999875,0.35749999999642507,0.348899999996511,-0.008599999999914065
forget_random_100.npy,random,100,long_tail,0.27099999999729,0.26499999999735,-0.005999999999939998,0.35749999999642507,0.348899999996511,-0.008599999999914065
forget_random_100.npy,random,100,safety_critical,0.08699999999913001,0.08499999999914999,-0.0019999999999800178,0.35749999999642507,0.348899999996511,-0.008599999999914065
forget_random_200.npy,random,200,majority,0.597499999994025,0.589499999994105,-0.007999999999920071,0.35749999999642507,0.344499999996555,-0.01299999999987006
forget_random_200.npy,random,200,mid_tail,0.3699999999963,0.358499999996415,-0.011499999999884991,0.35749999999642507,0.344499999996555,-0.01299999999987006
forget_random_200.npy,random,200,long_tail,0.27099999999729,0.24899999999751,-0.02199999999978003,0.35749999999642507,0.344499999996555,-0.01299999999987006
forget_random_200.npy,random,200,safety_critical,0.08699999999913001,0.08499999999915,-0.001999999999980004,0.35749999999642507,0.344499999996555,-0.01299999999987006
